"","district","weekstartdate","anycases","totalcases","est"
"19294","douglas",2011-04-17,0,0,6.56562208571787e-06
"19295","douglas",2011-04-24,0,0,1.1865372515477e-05
"19296","hand",2011-09-04,0,0,0.0270728560701816
"19297","bonhomme",2011-07-03,0,0,0.00591427613926859
"19298","bonhomme",2011-07-10,0,0,0.0101050790063104
"19299","bonhomme",2011-07-17,0,0,0.0173001338625915
"19300","bonhomme",2011-07-24,0,0,0.0214624192839011
"19301","bonhomme",2011-07-31,0,0,0.0331353554654964
"19302","edmunds",2011-01-02,0,0,2.6701953217275e-08
"19303","edmunds",2011-01-09,0,0,1.63830066447186e-08
"19304","edmunds",2011-01-16,0,0,1.05743969413718e-08
"19305","edmunds",2011-01-23,0,0,6.3078131111767e-09
"19306","edmunds",2011-01-30,0,0,8.42908114772879e-09
"19307","edmunds",2011-02-06,0,0,8.84900623928926e-09
"19308","edmunds",2011-02-13,0,0,1.04560477625309e-08
"19309","edmunds",2011-02-20,0,0,2.10338401060891e-08
"19310","edmunds",2011-02-27,0,0,2.29845644930707e-08
"19311","edmunds",2011-03-06,0,0,2.48608394185184e-08
"19312","edmunds",2011-03-13,0,0,4.32695114331726e-08
"19313","edmunds",2011-03-20,0,0,1.43792062821657e-07
"19314","edmunds",2011-03-27,0,0,3.03714307821267e-07
"19315","edmunds",2011-04-03,0,0,7.53990643954831e-07
"19316","edmunds",2011-04-10,0,0,2.5747728379381e-06
"19317","edmunds",2011-04-17,0,0,5.74743726190585e-06
"19318","edmunds",2011-04-24,0,0,1.13974331575373e-05
"19319","edmunds",2011-05-01,0,0,2.55691906750953e-05
"19320","edmunds",2011-05-08,0,0,5.76891591506095e-05
"19321","edmunds",2011-05-15,0,0,0.0001311320422885
"19322","edmunds",2011-05-22,0,0,0.000279203934832188
"19323","edmunds",2011-05-29,0,0,0.000472205263022342
"19324","edmunds",2011-06-05,0,0,0.000897306585767211
"19325","edmunds",2011-06-12,0,0,0.001501999348039
"19326","edmunds",2011-06-19,0,0,0.00277404703183999
"19327","edmunds",2011-06-26,0,0,0.00493723857203766
"19328","edmunds",2011-07-03,0,0,0.00858034208664792
"19329","edmunds",2011-07-10,0,0,0.016235929393437
"19330","edmunds",2011-07-17,0,0,0.0283358375571109
"19331","davison",2011-12-18,0,0,1.48169102798885e-06
"19332","davison",2011-12-25,0,0,9.38256398703774e-07
"19333","hanson",2011-10-02,0,0,0.00212013430105916
"19334","hanson",2011-10-09,0,0,0.00139485409938172
"19335","hanson",2011-10-16,0,0,0.000748708682090666
"19336","hanson",2011-10-23,0,0,0.000292581807852439
"19337","hanson",2011-10-30,0,0,0.000124308841194543
"19338","hanson",2011-11-06,0,0,5.46049480938426e-05
"19339","hanson",2011-11-13,0,0,2.33466342697488e-05
"19340","hanson",2011-11-20,0,0,8.25890429618642e-06
"19341","hanson",2011-11-27,0,0,3.86593330299067e-06
"19342","hanson",2011-12-04,0,0,1.77051453423569e-06
"19343","hanson",2011-12-11,0,0,6.14115969860307e-07
"19344","hanson",2011-12-18,0,0,3.5281621017596e-07
"19345","hanson",2011-12-25,0,0,2.2114441077549e-07
"19346","sanborn",2011-07-03,0,0,0.00947407823497896
